itemid,creatorid,creator,title,birth_year,death_year,collection,creation_date
94979,2409,"John Singleton Copley (American, 1738–1815)",Nathaniel Hurd,1738,1815,American - Painting,c. 1765
102578,3071,"William Merritt Chase (American, 1849–1916)",Portrait of Dora Wheeler,1849,1916,American - Painting,1882–83
92937,3005,"George Bellows (American, 1882–1925)",Stag at Sharkey's,1882,1925,American - Painting,1909
151904,4037,"Thomas Eakins (American, 1844–1916)",The Biglin Brothers Turning the Stake,1844,1916,American - Painting,1873
141639,2697,"Frederic Edwin Church (American, 1826–1900)",Twilight in the Wilderness,1826,1900,American - Painting,1860
110180,3267,"Albert Pinkham Ryder (American, 1847–1917)",The Race Track (Death on a Pale Horse),1847,1917,American - Painting,c. 1896–1908
149112,889,"Charles Sheeler (American, 1883–1965)",Church Street El,1883,1965,American - Painting,1920
126769,1804,"Henri Rousseau (French, 1844–1910)",Fight between a Tiger and a Buffalo,1844,1910,Mod Euro - Painting 1800-1960,1908
149410,1776,"Paul Gauguin (French, 1848–1903)",In the Waves (Dans les Vagues),1848,1903,Mod Euro - Painting 1800-1960,1889
135299,1779,"Vincent van Gogh (Dutch, 1853–1890)",Adeline Ravoux,1853,1890,Mod Euro - Painting 1800-1960,1890
93014,2659,"Thomas Cole (American, 1801–1848)","View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
125249,1779,"Vincent van Gogh (Dutch, 1853–1890)",The Large Plane Trees (Road Menders at Saint-Rémy),1853,1890,Mod Euro - Painting 1800-1960,1889
135382,1844,"Claude Monet (French, 1840–1926)",The Red Kerchief,1840,1926,Mod Euro - Painting 1800-1960,c. 1868–73
123365,3077,"John Rogers Cox (American, 1915–1990)",Gray and Gold,1915,1990,American - Painting,1942
128391,2633,"Pieter de Hooch (Dutch, 1629–1684)",Portrait of a Family Playing Music,1629,1684,P - Netherlandish-Dutch,1663
140161,3285,"John Sloan (American, 1871–1951)",A Woman's Work,1871,1951,American - Painting,1912
124245,2160,"Pablo Picasso (Spanish, 1881–1973)",La Vie,1881,1973,Mod Euro - Painting 1800-1960,1903
125104,1759,"Edgar Degas (French, 1834–1917)",Frieze of Dancers,1834,1917,Mod Euro - Painting 1800-1960,c. 1895
129265,2130,"Henri Matisse (French, 1869–1954)",Interior with an Etruscan Vase (Intérieur au vase étrusque),1869,1954,Mod Euro - Painting 1800-1960,1940
138464,1643,"Jacques-Louis David (French, 1748–1825)",Cupid and Psyche,1748,1825,Mod Euro - Painting 1800-1960,1817
122349,2541,"Joshua Reynolds (British, 1723–1792)",Portrait of the Ladies Amabel and Mary Jemima Yorke,1723,1792,P - British before 1800,c. 1761
127571,2209,"Lorenzo Lotto (Italian, 1480–1556)","Portrait of a Man, possibly Girolamo Rosati",1480,1556,P - Italian 16th & 17th Century,1533–34
109245,2553,"Benjamin West (American, 1738–1820)","Elizabeth Shewell West and Her Son, Raphael",1738,1820,American - Painting,c. 1770
140408,2694,"John James Audubon (American, 1785–1851)",Peregrine Falcons (Duck Hawks),1785,1851,American - Painting,c. 1827
135428,2647,"Lucas Cranach (German, 1472–1553)",Hunting near Hartenfels Castle,1472,1553,P - German before 1800,1540
150389,1946,"Nicolas Poussin (French, 1594–1665)",The Holy Family on the Steps,1594,1665,P - French 17th Century,1648
138359,2673,"Willem Kalf (Dutch, 1619–1693)",Wineglass and a Bowl of Fruit,1619,1693,P - Netherlandish-Dutch,1663
137259,1600,"Gustave Courbet (French, 1819–1877)",Mme L... (Laure Borreau),1819,1877,Mod Euro - Painting 1800-1960,1863
98268,2523,"Charles Willson Peale (American, 1741–1827)",George Washington at Princeton,1741,1827,American - Painting,c. 1779
98268,34768,Workshop,George Washington at Princeton,,,American - Painting,c. 1779
131819,2443,"Anthony van Dyck (Flemish, 1599–1641)",A Genoese Lady with Her Child,1599,1641,P - Netherlandish-Flemish,c. 1623–25
148758,2065,"Caravaggio (Italian, 1571–1610)",The Crucifixion of Saint Andrew,1571,1610,P - Italian 16th & 17th Century,1606–7
165157,4050,"Jacob Lawrence (American, 1917–2000)",Fulton and Nostrand,1917,2000,American - Painting,1958
135214,1638,"Honoré Daumier (French, 1808–1879)",The Troubadour,1808,1879,Mod Euro - Painting 1800-1960,1868–73
122351,1280,"Joseph Mallord William Turner (British, 1775–1851)","The Burning of the Houses of Lords and Commons, 16 October 1834",1775,1851,Mod Euro - Painting 1800-1960,1835
120870,1765,"Pierre-Auguste Renoir (French, 1841–1919)",The Judgment of Paris,1841,1919,Mod Euro - Sculpture 1800-1960,1914
120870,61535,"Ricard Guinó (Spanish, 1890–1973)",The Judgment of Paris,1890,1973,Mod Euro - Sculpture 1800-1960,1914
162080,12809,"Salvador Dalí (Spanish, 1904–1989)",The Dream,1904,1989,Mod Euro - Painting 1800-1960,1931
134072,2493,"George Inness (American, 1825–1894)",Sunny Autumn Day,1825,1894,American - Painting,1892
147066,2160,"Pablo Picasso (Spanish, 1881–1973)","Bottle, Glass, Fork",1881,1973,Mod Euro - Painting 1800-1960,1911–12
124089,2520,"Rembrandt van Rijn (Dutch, 1606–1669)",Portrait of a Woman,1606,1669,P - Netherlandish-Dutch,1635 or earlier
124089,61762,Studio,Portrait of a Woman,,,P - Netherlandish-Dutch,1635 or earlier
136510,1844,"Claude Monet (French, 1840–1926)",Water Lilies (Agapanthus),1840,1926,Mod Euro - Painting 1800-1960,c. 1915–26
155783,2876,"William Sidney Mount (American, 1807–1868)",The Power of Music,1807,1868,American - Painting,1847
147017,1536,"John Constable (British, 1776–1837)","Branch Hill Pond, Hampstead",1776,1837,Mod Euro - Painting 1800-1960,1828
149768,61584,"Petrus Christus (Netherlandish, c. 1410–1475/76)",Saint John the Baptist in a Landscape,c. 1410,1475/76,MED - Medieval Art,c. 1445
163769,7876,"Aaron Douglas (American, 1899–1979)",Go Down Death,1899,1979,American - Painting,1934
136911,2659,"Thomas Cole (American, 1801–1848)",View of Florence,1801,1848,American - Painting,1837
156112,15830,"Carlo Bugatti (Italian, 1856–1940)",Tea Table,1856,1940,Furniture,c. 1907
135539,9759,"Claus de Werve (Netherlandish, 1380–1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",1380,1439,MED - Gothic,1404–10
136217,5148,"Francisco de Zurbarán (Spanish, 1598–1664)",Christ and the Virgin in the House at Nazareth,1598,1664,P - Spanish before 1800,c. 1640
155665,10735,"Policoro Painter (South Italian, Lucanian, active c. 400 BCE)",Red-Figure Calyx-Krater (Mixing Vessel): Medea in Chariot (A); Telephos with Baby Orestes (B),,,GR - South Italy,c. 400 BCE
149665,2775,"Arnold Böcklin (Swiss, 1827–1901)",Ruin by the Sea,1827,1901,Mod Euro - Painting 1800-1960,1881
148753,1748,"Odilon Redon (French, 1840–1916)",Violette Heymann,1840,1916,DR - French,1910
171296,2605,"Robert S. Duncanson (American, 1821–1872)",Vale of Kashmir,1821,1872,American - Painting,1867
135920,9821,"Tilman Riemenschneider (German, active Würzburg, c. 1460–1531)",Saint Lawrence,,1531,MED - Gothic,1502–8
140396,3631,"Kay Sage (American, 1898–1963)",A Bird in the Room,1898,1963,American - Painting,1955
128392,1836,"Camille Pissarro (French, 1830–1903)","Edge of the Woods Near L'Hermitage, Pontoise",1830,1903,Mod Euro - Painting 1800-1960,1879
147938,2249,"Giovanni Paolo Panini (Italian, 1691–1765)","Interior of the Pantheon, Rome",1691,1765,P - Italian 18th Century,1747
164628,31614,"Reginald Marsh (American, 1898–1954)",A Paramount Picture,1898,1954,American - Painting,1934
155860,2879,"Friedrich Amerling (Austrian, 1803–1887)",The Young Eastern Woman,1803,1887,Mod Euro - Painting 1800-1960,1838
128842,1910,"Georges de La Tour (French, 1593–1652)",Saint Peter Repentant,1593,1652,P - French 17th Century,1645
135538,9759,"Claus de Werve (Netherlandish, 1380–1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",1380,1439,MED - Gothic,1404–10
160289,2559,"John Singer Sargent (American, 1856–1925)",Portrait of Lisa Colt Curtis,1856,1925,American - Painting,1898
