originalid,year,colenr
1,2017,
2,2017,1. Not enrolled
3,2017,1. Not enrolled
4,2017,1. Not enrolled
5,2017,1. Not enrolled
6,2017,1. Not enrolled
7,2017,1. Not enrolled
8,2017,1. Not enrolled
9,2017,1. Not enrolled
10,2017,1. Not enrolled
11,2017,1. Not enrolled
12,2017,1. Not enrolled
13,2017,1. Not enrolled
14,2017,1. Not enrolled
15,2017,1. Not enrolled
16,2017,3. 4-year college
17,2017,1. Not enrolled
18,2017,1. Not enrolled
19,2017,1. Not enrolled
20,2017,1. Not enrolled
21,2017,1. Not enrolled
22,2017,1. Not enrolled
23,2017,3. 4-year college
24,2017,1. Not enrolled
25,2017,1. Not enrolled
26,2017,1. Not enrolled
27,2017,1. Not enrolled
28,2017,1. Not enrolled
29,2017,
30,2017,
31,2017,1. Not enrolled
32,2017,1. Not enrolled
33,2017,1. Not enrolled
34,2017,1. Not enrolled
35,2017,1. Not enrolled
36,2017,3. 4-year college
37,2017,1. Not enrolled
38,2017,1. Not enrolled
39,2017,3. 4-year college
40,2017,
41,2017,1. Not enrolled
42,2017,
43,2017,1. Not enrolled
44,2017,1. Not enrolled
45,2017,1. Not enrolled
46,2017,1. Not enrolled
47,2017,1. Not enrolled
48,2017,1. Not enrolled
49,2017,1. Not enrolled
50,2017,1. Not enrolled
51,2017,1. Not enrolled
52,2017,1. Not enrolled
53,2017,
54,2017,3. 4-year college
55,2017,1. Not enrolled
56,2017,1. Not enrolled
57,2017,1. Not enrolled
58,2017,1. Not enrolled
59,2017,1. Not enrolled
60,2017,1. Not enrolled
61,2017,1. Not enrolled
62,2017,1. Not enrolled
63,2017,1. Not enrolled
64,2017,1. Not enrolled
65,2017,1. Not enrolled
66,2017,
67,2017,1. Not enrolled
68,2017,3. 4-year college
69,2017,1. Not enrolled
70,2017,1. Not enrolled
71,2017,1. Not enrolled
72,2017,1. Not enrolled
73,2017,1. Not enrolled
74,2017,1. Not enrolled
75,2017,1. Not enrolled
76,2017,1. Not enrolled
77,2017,
78,2017,1. Not enrolled
79,2017,1. Not enrolled
